브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량),입고수량,최초입고일,최종입고일
X,전년(26N),DXMR0186N,Bag,메신저백,DXMR0186NK0001,99000,2400,237600000,169714.2857142857,CQ250900837,KRW,(주)케이앤씨인터내셔날,2025-09-24,6490.632857142858,350.25,4674.336428571429,437.3121428571429,7655.464285714285,0.0,2645.8885714285716,262.1871428571429,6486.0,350.0,4671.0,437.0,7650.0,0.0,2644.0,262.0,27845475.42857143,840600.0,18373114.285714287,6350132.571428572,629249.1428571428,27825600.0,840000.0,18360000.0,6345600.0,628800.0,2400,2025-11-03,2025-11-03
X,전년(26N),DXMR0196N,Bag,메신저백,DXMR0196ND0001,119000,20,2380000,1700.0,CQ250900840,KRW,(주)케이앤씨인터내셔날,2025-09-24,6840.882857142858,350.25,7117.08,437.3121428571429,7655.464285714285,0.0,2855.0378571428573,262.1871428571429,6836.0,350.0,7112.0,437.0,7650.0,0.0,2853.0,262.0,287905.5,7005.0,153109.2857142857,57100.75714285715,5243.742857142857,287700.0,7000.0,153000.0,57060.0,5240.0,20,2025-11-03,2025-11-03
X,전년(26N),DXMR0196N,Bag,메신저백,DXMR0196NK0001,119000,2300,273700000,195500.0,CQ250900839,KRW,(주)케이앤씨인터내셔날,2025-09-24,6840.882857142858,350.25,7117.08,437.3121428571429,7655.464285714285,0.0,2855.0378571428573,262.1871428571429,6836.0,350.0,7112.0,437.0,7650.0,0.0,2853.0,262.0,33109132.5,805575.0,17607567.85714286,6566587.071428572,603030.4285714285,33085500.0,805000.0,17595000.0,6561900.0,602600.0,2290,2025-11-03,2025-11-03
X,전년(25N),DKBK5015N,Bag,백팩,DKBK5015NK0001,149000,2000,298000000,212857.14285714287,CQ250700269,KRW,(주)케이앤씨인터내셔날,2025-07-03,8842.31142857143,700.5,10141.238571428572,437.3121428571429,9857.035714285714,0.0,4135.9521428571425,1411.0071428571428,8836.0,700.0,10134.0,437.0,9850.0,0.0,4133.0,1410.0,38841724.28571428,1401000.0,19714071.42857143,8271904.285714285,2822014.285714286,38814000.0,1400000.0,19700000.0,8266000.0,2820000.0,2000,2025-07-29,2025-07-29
X,전년(25N),DKBN6095N,Headwear,비니,DKBN6095NK0001,42000,900,37800000,27000.0,CQ250700472,KRW,정화무역,2025-07-15,1437.0257142857142,1000.7142857142857,233.16642857142858,347.24785714285713,4503.214285714285,0.0,1075.767857142857,702.5014285714286,1436.0,1000.0,233.0,347.0,4500.0,0.0,1075.0,702.0,1815696.0,900642.8571428572,4052892.8571428573,968191.0714285715,632251.2857142857,1814400.0,900000.0,4050000.0,967500.0,631800.0,900,2025-08-29,2025-08-29
X,전년(25N),DKBN6105N,Headwear,비니,DKBN6105NK0001,45000,800,36000000,25714.285714285714,CQ250700473,KRW,정화무역,2025-07-15,2807.0035714285714,1000.7142857142857,233.16642857142858,347.24785714285713,4903.5,0.0,1341.9578571428572,478.3414285714286,2805.0,1000.0,233.0,347.0,4900.0,0.0,1341.0,478.0,2709934.285714286,800571.4285714285,3922800.0,1073566.2857142857,382673.14285714284,2708000.0,800000.0,3920000.0,1072800.0,382400.0,800,2025-08-06,2025-08-06
X,전년(25N),DKBN6115N,Headwear,비니,DKBN6115NK0001,65000,800,52000000,37142.857142857145,CQ250901026,KRW,정화무역,2025-09-30,5079.625714285714,700.5,173.12357142857144,347.24785714285713,5904.214285714285,0.0,1778.2692857142856,730.5214285714286,5076.0,700.0,173.0,347.0,5900.0,0.0,1777.0,730.0,4479997.714285715,560400.0,4723371.428571428,1422615.4285714286,584417.1428571428,4476800.0,560000.0,4720000.0,1421600.0,584000.0,800,2025-10-24,2025-10-24
X,전년(25N),DKCP6015N,Headwear,운동모,DKCP6015NK0001,39000,1000,39000000,27857.14285714286,CQ250700380,KRW,㈜유풍,2025-07-09,1425.0171428571427,560.4,1173.837857142857,417.29785714285714,2696.925,0.0,878.6271428571429,2223.5871428571427,1424.0,560.0,1173.0,417.0,2695.0,0.0,878.0,2222.0,3016152.8571428573,560400.0,2696925.0,878627.1428571428,2223587.1428571427,3014000.0,560000.0,2695000.0,878000.0,2222000.0,1000,2025-07-31,2025-07-31
X,전년(25N),DKCP6025N,Headwear,운동모,DKCP6025NK0001,39000,400,15600000,11142.857142857143,CQ250700381,KRW,㈜유풍,2025-07-09,1969.4057142857143,760.5428571428571,1170.8357142857142,387.2764285714286,2671.907142857143,0.0,985.7035714285714,3412.4357142857143,1968.0,760.0,1170.0,387.0,2670.0,0.0,985.0,3410.0,1411007.142857143,304217.14285714284,1068762.857142857,394281.4285714286,1364974.2857142857,1410000.0,304000.0,1068000.0,394000.0,1364000.0,400,2025-07-31,2025-07-31
X,전년(25N),DKCP6035N,Headwear,운동모,DKCP6035NK0001,42000,800,33600000,24000.0,CQ250700382,KRW,㈜유풍,2025-07-09,1491.0642857142857,860.6142857142858,1173.837857142857,387.2764285714286,2671.907142857143,0.0,929.6635714285715,1442.0292857142856,1490.0,860.0,1173.0,387.0,2670.0,0.0,929.0,1441.0,2441742.8571428573,688491.4285714285,2137525.714285714,743730.8571428572,1153623.4285714286,2440000.0,688000.0,2136000.0,743200.0,1152800.0,800,2025-07-31,2025-07-31
X,전년(25N),DKCP6045N,Headwear,운동모,DKCP6045NK0001,42000,800,33600000,24000.0,CQ250700383,KRW,㈜유풍,2025-07-09,1806.2892857142858,860.6142857142858,1173.837857142857,387.2764285714286,2666.9035714285715,0.0,975.6964285714286,2105.502857142857,1805.0,860.0,1173.0,387.0,2665.0,0.0,975.0,2104.0,2693922.8571428573,688491.4285714285,2133522.8571428573,780557.1428571428,1684402.2857142857,2692000.0,688000.0,2132000.0,780000.0,1683200.0,800,2025-07-31,2025-08-13
X,전년(25N),DKCR5035N,Bag,크로스백,DKCR5035NK0001,89000,1000,89000000,63571.42857142857,CQ250700271,KRW,(주)케이앤씨인터내셔날,2025-07-03,5570.976428571428,700.5,3104.2157142857145,437.3121428571429,5283.771428571428,0.0,1979.412857142857,736.5257142857142,5567.0,700.0,3102.0,437.0,5280.0,0.0,1978.0,736.0,9112504.285714285,700500.0,5283771.428571428,1979412.857142857,736525.7142857143,9106000.0,700000.0,5280000.0,1978000.0,736000.0,1000,2025-07-29,2025-07-29
X,전년(25N),DKDC7015N,Acc_etc,다운 스카프,DKDC7015NK0001,39000,2800,109200000,78000.0,CQ250700193,KRW,(주)시즈글로벌,2025-07-02,2608.8621428571428,200.14285714285714,655.4678571428572,267.1907142857143,1125.8035714285713,0.0,688.4914285714286,654.4671428571429,2607.0,200.0,655.0,267.0,1125.0,0.0,688.0,654.0,9888258.0,560400.0,3152250.0,1927776.0,1832508.0,9881200.0,560000.0,3150000.0,1926400.0,1831200.0,2800,2025-10-10,2025-10-10
X,전년(25N),DKGL7025N,Acc_etc,장갑,DKGL7025NK0001,59000,1000,59000000,42142.857142857145,CQ250700194,KRW,(주)시즈글로벌,2025-07-02,5467.902857142857,700.5,1582.1292857142857,279.19928571428574,4012.864285714286,0.0,1764.2592857142856,807.5764285714286,5464.0,700.0,1581.0,279.0,4010.0,0.0,1763.0,807.0,7329231.428571428,700500.0,4012864.285714286,1764259.2857142857,807576.4285714285,7324000.0,700000.0,4010000.0,1763000.0,807000.0,1000,2025-10-10,2025-10-10
X,전년(25N),DKGL7035N,Acc_etc,장갑,DKGL7035NK0001,45000,900,40500000,28928.571428571428,CQ250700195,KRW,(주)시즈글로벌,2025-07-02,3271.335,1300.9285714285713,1411.0071428571428,279.19928571428574,3857.7535714285714,0.0,1476.0535714285713,712.5085714285714,3269.0,1300.0,1410.0,279.0,3855.0,0.0,1475.0,712.0,4465387.285714285,1170835.7142857143,3471978.214285714,1328448.2142857143,641257.7142857143,4462200.0,1170000.0,3469500.0,1327500.0,640800.0,900,2025-09-12,2025-09-12
X,전년(25N),DKHT6055N,Headwear,햇,DKHT6055NK0001,59000,500,29500000,21071.428571428572,CQ250700449,KRW,주식회사 피앤지아이엔씨,2025-07-15,3347.3892857142855,310.2214285714286,2097.497142857143,412.2942857142857,4403.142857142857,0.0,1524.087857142857,1621.1571428571428,3345.0,310.0,2096.0,412.0,4400.0,0.0,1523.0,1620.0,2928590.3571428573,155110.7142857143,2201571.4285714286,762043.9285714285,810578.5714285715,2926500.0,155000.0,2200000.0,761500.0,810000.0,500,2025-08-13,2025-08-21
X,전년(25N),DKHT6065N,Headwear,햇,DKHT6065NK0001,65000,750,48750000,34821.42857142857,CQ250700448,KRW,주식회사 피앤지아이엔씨,2025-07-15,3002.1428571428573,460.3285714285714,1966.4035714285715,347.24785714285713,4403.142857142857,0.0,1475.0528571428572,2863.042857142857,3000.0,460.0,1965.0,347.0,4400.0,0.0,1474.0,2860.0,3986845.714285714,345246.4285714286,3302357.1428571427,1106289.642857143,2147282.1428571427,3984000.0,345000.0,3300000.0,1105500.0,2145000.0,750,2025-08-13,2025-08-13
X,전년(25N),DKSG5025N,Bag,슬링백,DKSG5025NK0001,79000,2000,158000000,112857.14285714286,CQ250700270,KRW,(주)케이앤씨인터내셔날,2025-07-03,2393.7085714285713,600.4285714285714,3714.6514285714284,437.3121428571429,6054.321428571428,0.0,1659.1842857142858,651.465,2392.0,600.0,3712.0,437.0,6050.0,0.0,1658.0,651.0,13091344.285714285,1200857.142857143,12108642.857142856,3318368.5714285714,1302930.0,13082000.0,1200000.0,12100000.0,3316000.0,1302000.0,2000,2025-07-29,2025-07-29
X,전년(25N),DKSH7245N,Shoes,신발,DKSH7245NK0002,89000,2000,178000000,127142.85714285714,CQ250500172,KRW,티엠에스코리아 주식회사,2025-05-07,7511.361428571428,2197.5685714285714,995.7107142857143,410.29285714285714,4603.285714285715,0.0,2296.6392857142855,993.7092857142857,7506.0,2196.0,995.0,410.0,4600.0,0.0,2295.0,993.0,17834730.0,4395137.142857143,9206571.42857143,4593278.571428572,1987418.5714285714,17822000.0,4392000.0,9200000.0,4590000.0,1986000.0,2000,2025-06-05,2025-06-05
X,전년(25N),DKSO7045N,Acc_etc,양말,DKSO7045NK0001,9000,800,7200000,5142.857142857143,CQ250700378,KRW,에스에이치어패럴(주),2025-07-09,793.5664285714286,0.0,458.32714285714286,0.0,530.3785714285714,0.0,267.1907142857143,0.0,793.0,0.0,458.0,0.0,530.0,0.0,267.0,0.0,1001514.8571428572,0.0,424302.85714285716,213752.57142857142,0.0,1000800.0,0.0,424000.0,213600.0,0.0,800,2025-08-06,2025-08-06
X,전년(25N),DKSO7055N,Acc_etc,양말,DKSO7055NK0001,10000,2400,24000000,17142.85714285714,CQ250700379,KRW,에스에이치어패럴(주),2025-07-09,677.4835714285714,0.0,458.32714285714286,0.0,530.3785714285714,0.0,250.17857142857142,0.0,677.0,0.0,458.0,0.0,530.0,0.0,250.0,0.0,2725945.714285714,0.0,1272908.5714285714,600428.5714285715,0.0,2724000.0,0.0,1272000.0,600000.0,0.0,2400,2025-08-06,2025-08-06
X,전년(25N),DKWM6075N,Headwear,방한모,DKWM6075NK0001,65000,1100,71500000,51071.42857142857,CQ250700384,KRW,㈜유풍,2025-07-09,2666.9035714285715,800.5714285714286,1403.0014285714285,387.2764285714286,4273.05,0.0,1371.9792857142857,1616.1535714285715,2665.0,800.0,1402.0,387.0,4270.0,0.0,1371.0,1615.0,4902899.571428572,880628.5714285715,4700355.0,1509177.2142857143,1777768.9285714286,4899400.0,880000.0,4697000.0,1508100.0,1776500.0,1100,2025-10-14,2025-10-14
X,전년(25N),DKWM6085N,Headwear,방한모,DKWM6085NK0001,55000,1000,55000000,39285.71428571428,CQ250700385,KRW,㈜유풍,2025-07-09,2371.692857142857,600.4285714285714,1417.0114285714285,417.29785714285714,4298.067857142857,0.0,1302.93,1490.0635714285713,2370.0,600.0,1416.0,417.0,4295.0,0.0,1302.0,1489.0,4206002.142857143,600428.5714285715,4298067.857142857,1302930.0,1490063.5714285714,4203000.0,600000.0,4295000.0,1302000.0,1489000.0,1000,2025-10-14,2025-10-14
X,전년(25N),DXBK5015N,Bag,백팩,DXBK5015NK0001,159000,666,105894000,75638.57142857143,CQ250600327,KRW,(주)인투잇,2025-06-09,9626.871428571429,500.35714285714283,8117.794285714286,437.3121428571429,8621.153571428571,0.0,1880.3421428571428,1538.097857142857,9620.0,500.0,8112.0,437.0,8615.0,0.0,1879.0,1537.0,12109197.252857143,333237.85714285716,5741688.278571429,1252307.867142857,1024373.1728571429,12100554.0,333000.0,5737590.0,1251414.0,1023642.0,666,2025-07-03,2025-07-03
X,전년(25N),DXBK5025N,Bag,백팩,DXBK5025NK0001,129000,1883,242907000,173505.0,CQ250600329,KRW,(주)인투잇,2025-06-12,5383.842857142857,500.35714285714283,5759.1107142857145,437.3121428571429,8621.153571428571,0.0,972.6942857142857,1141.815,5380.0,500.0,5755.0,437.0,8615.0,0.0,972.0,1141.0,21805640.34,942172.5,16233632.175,1831583.34,2150037.645,21790076.0,941500.0,16222045.0,1830276.0,2148503.0,1883,2025-07-03,2025-07-03
